player,total_points
"T Carraro, Luciano",2
"T Carretero, Pablo",2
"T Cayre, Paul",2
"T Cazacu, Dragos Nicolae",2
"T Cengiz, Baran",2
"T Chahoud, Kevin",2
"T Chirita, Ioan Alexandru",2
"T Chopra, Keshav",2
"T Ciavarella, Niccolò",2
"T Cohen, Aaron",2
"T Colby, Ryan",2
"T Corbinais, Sven",2
"T Cosnet, Charlelie",2
"T Cubelic, Karlo",2
"T Cundom, Julian",2
"T Curras Abasolo, Tomas",2
"T Da Silva, Gabriel Ciro",2
"T Dahiya, Paras",2
"T Darras, Mayeul",2
"T Del Federico, Andrea",2
"T Den Heijer, Guy",2
"T Deviatiarov, Marat",2
"T Dhoe, Benjamin",2
"T Dietrich, Dylan",2
"T Dimic, Matic",2
"T Doumbia, Sadio",2
"T Drover-Mattinen, Liam",2
"T Dubouch, Maxime",2
"T Dubrouski, Mikhail",2
"T Dustov, Mustafa",2
"T Eala, Michael Francis",2
"T Emesz, Benedikt",2
"T Eriksson Ziverts, Jonas",2
"T Estevez, Maximiliano",2
"T Freire Da Silva, Adan",2
"T Fufygin, Mikhail",2
"T Galdos, Sergio",2
"T Galloway, Robert",2
"T Garcia, Alejandro",2
"T Gea, Arthur",2
"T Genov, Anthony",2
"T Giannella, Joao",2
"T Gloeckler, Michael",2
"T Gomez, Lucas",2
"T Gray, Jonathan",2
"T Han, Seon Yong",2
"T Hartenstein, Jonas Pelle",2
"T Heinonen, Adam",2
"T Herman, Louis",2
"T Hilderbrand, Trey",2
"T Houghton, George",2
"T Huang, Chih Chi",2
"T Hulme, Matt",2
"T Ibrahim, Karim",2
"T Ignat, Dragos Constantin",2
"T Jacq, Gregoire",2
"T Jaisinghani, Raghav",2
"T Karlsson Wistrand, Jack",2
"T Katz, Martin",2
"T Kellovsky, Dominik",2
"T Kim, Dong Ju",2
"T Kirkov, Vasil",2
"T Korolev, Vladimir",2
"T Ktiri, Marc Othman",2
"T Kudriashov, Igor",2
"T Kupcic, Jan",2
"T Kwiatkowski, Thai-Son",2
"T Langmajer, Dominik",2
"T Larwig, Noel",2
"T Laurent, Thomas",2
"T Le Khanh Duy, Tu",2
"T Lee, Haesun",2
"T Liucci, Francesco",2
"T Lobanov, Aleksandr",2
"T Loge, Jack",2
"T Maden, Yannick",2
"T Malesevic, Nemanja",2
"T Manafov, Vladyslav",2
"T Martini, Ottaviano",2
"T Masjuan Ginel, Pablo",2
"T Massara, Antonio",2
"T Matsui, Toshihide",2
"T Maulenov, Timur",2
"T Milanovic, Dusan",2
"T Minarik, Kristof",2
"T Moore, Ewan",2
"T Morais, Diogo",2
"T Moroni, Filippo",2
"T Mouilleron Salvo, Manuel",2
"T Myneni, Saketh",2
"T Nguyen, Phuong Van",2
"T Niedner, Neo",2
"T Novo, Ignacio",2
"T Oplustil, Patrik",2
"T Papac, Tomislav Edward",2
"T Pavel, Bogdan",2
"T Perez, Brandon",2
"T Perruzza, Valerio",2
"T Pham, Minhtuan",2
"T Pieri, Samuele",2
"T Polansky, Peter",2
"T Pourroy, Loris",2
"T Puskar, Samuel",2
"T Rahman, Yannik",2
"T Raja, Purav",2
"T Ramskogler, Gregor",2
"T Reveniau, Simon",2
"T Rieder, Horst",2
"T Rivera, Leyton",2
"T Rollins, Pierce",2
"T Rousseau, Hillel",2
"T Ryan Ziegann, Sam",2
"T Sanchez Martinez, Benito",2
"T Sanchez, Rodrigo",2
"T Sanghera, Tiran",2
"T Saye, David",2
"T Schiessl, Joao Eduardo",2
"T Schlagenhauf, Noah",2
"T Sharan, Divij",2
"T Sharma, Aman",2
"T Shaw, Michael",2
"T Shick, Braden",2
"T Shirafuji, Naru",2
"T Silva, Tiago",2
"T Simon, Tobias",2
"T Sornlaksup, Pawit",2
"T Southcombe, Mattias",2
"T Staeheli, Luca",2
"T Stepanov, Timofey",2
"T Stoica, Vlad",2
"T Strode, Elijah",2
"T Strom, Gustaf",2
"T Tailleu, Pierre Antoine",2
"T Tomas, Aleksandar",2
"T Trochu, Pablo",2
"T Troost, Siim",2
"T Verbeek, Sem",2
"T Virali-Murugesan, Ranjeet",2
"T Vojinovic, Lazar",2
"T Waldner, Niklas",2
"T Wang, Chuhan",2
"T Wattanakul, Pol",2
"T Weng, Jing Long",2
"T Wiskandt, Max",2
"T Yu, Cheng-Yu",2
"T Zanotti, Alessio",2
"T Zverev, Mischa",2
"T cherie Ligniere, Edoardo",2
"Agafonov, Egor",3
"Bueres, Matheus",3
"Koaykul, Krittin",3
"La Serna, Juan Manuel",3
"Lakoseljac, Christian",3
"T Abibsi, Mohamed Ali",3
"T Agostini, Simone",3
"T Alvarado Berrospi, Alberto Odiseo",3
"T Ansari, Austin Ansari",3
"T Bachmaier, Philip",3
"T Barun, Bozo",3
"T Bennani, Reda",3
"T Blaydes, Billy",3
"T Borisiouk, Martin",3
"T Borza, Bogdan",3
"T Bouchelaghem, Cesar",3
"T Braithwaite, Thomas",3
"T Catani, Leonardo",3
"T Charlton, Joshua",3
"T Ciurletti, Andres Gabriel",3
"T Clezar, Guilherme",3
"T Congcar, Congsup",3
"T Cortegiani, Alessandro",3
"T Couto Loureiro, Joao Victor",3
"T Crepatte, Baptiste",3
"T D'Agostino, Stefano",3
"T Dabas, Nishant",3
"T Deschamps, Allan",3
"T Di Natale, Gian Matias",3
"T Dickerson, Ryan",3
"T Donald, Matthew William",3
"T Dubrivnyy, Artem",3
"T Ehara, Hiroyasu",3
"T Escurra Isnardi, Hernando Jose",3
"T Ferrari, Francesco",3
"T Gaal, Corey",3
"T Hernandez, Carles",3
"T Hopp, Michel",3
"T Horak, Ondrej",3
"T Horiuchi, Ryusuke",3
"T Jebens, Hendrik",3
"T Jirousek, Tomas",3
"T Joncour, Ronan",3
"T Jones, Hayden",3
"T Jotovski, Tomislav",3
"T Kissell, Chad",3
"T Kumaran, Bharath Nishok",3
"T Lanik, Tomas",3
"T Lee, Tae-Woo",3
"T Li, Majun",3
"T Liu, Hanyi",3
"T Lyeons, Jaycer",3
"T Marrero Curbelo, Ivan",3
"T Miceli, Roberto",3
"T Minasyan, Michael",3
"T Misrahi, Joe",3
"T Musitelli, François",3
"T Neuhaus, Arthur",3
"T Nirundorn, Tanapatt",3
"T Novikov, Dennis",3
"T Oliveira, Christian",3
"T Oliver Moratalla, Vicente",3
"T Ouahab, Lamine",3
"T Panak, Yvo",3
"T Papamalamis, Theo",3
"T Pereira, Miguel Fernando",3
"T Pereira, Tiago",3
"T Pozzani, Nicolo",3
"T Qamar, Fardeen",3
"T Ravichander, Ishaan",3
"T Revelli, Giacomo",3
"T Rodriguez, Johan Alexander",3
"T Sahtali, Toufik",3
"T Salazar, Amador",3
"T Salazar, Daniel",3
"T Sarouk, Yair",3
"T Schaer, Jonas",3
"T Sciahbasi, Lorenzo",3
"T Sorbo, Jonathan",3
"T Stewart, Hamish",3
"T Suresh, Dhakshineswar",3
"T Tarvet, Oliver",3
"T Terczynski, Mateusz",3
"T Thanos, Aristotelis",3
"T Tsivadze, George",3
"T Tyler, Joe",3
"T Ujvary, Matthias",3
"T Van Rensburg, Sean",3
"T Vanneste, Jeroen",3
"T Vatteroni, Lorenzo",3
"T Vishal Balsekar, Aditya",3
"T Volonski, Nikita",3
"T Vu, Ha Minh Duc",3
"T Wang, Chukang",3
"T Ward IV, Emmett",3
"T Weekes, Jaden",3
"T Wunderlich, Yannick",3
"T Xiao, Linang",3
"T Yang, Jimmy",3
"T Yuzuki, Takeru",3
"Valsecchi, Paul",3
"Bar Menahem, Shay",4
"Cornut-Chauvinc, Antoine",4
"Faucon, Romain",4
"Fossati, Carlo Alberto",4
"Frances Tessari, Enzo",4
"Gaillard, Marc Antoine",4
"Gomes, Miguel",4
"Hellum-Lilleengen, Lukas",4
"Hodkin, Sean",4
"Johnson, Luke",4
"Jones, Miles",4
"Jurajda, Adam",4
"Leote Prata, Martim",4
"Pacheco Mendez, Rodrigo",4
"Pena, Enrique",4
"Sookton-eng, Chanchai",4
"T Amoros Ramos, Pol",4
"T Andre, Seydina",4
"T Babelis, Tadas",4
"T Banthia, Siddhant",4
"T Bejenaru, Mateo",4
"T Binda, Alexandr",4
"T Boika, Leanid",4
"T Bondioli, Federico",4
"T Braynin, Aleksandr",4
"T Britto, Luis",4
"T Cash, Robert",4
"T Chikami, Shohei",4
"T De Dios, Felipe",4
"T De Jager, Jesse",4
"T De Maio, Mauro",4
"T Delaney, Jake",4
"T Di Nicola, Gianluca",4
"T Drzewiecki, Karol",4
"T Duran, Tuncay",4
"T Gavrielides, Liam",4
"T Giotis, Rafael",4
"T Giunta, Massimo",4
"T Goldsteiner, Peter",4
"T Henning, Benedikt",4
"T Henning, Philip",4
"T Hernandez, Felipe",4
"T Hess, Sean",4
"T Hietaranta, Roni Mikael",4
"T Hohmann, Ronald",4
"T Isaro, Pruchya",4
"T Javia, Dev",4
"T Jones, Adam",4
"T Kamath, Madhwin",4
"T Kroslak, Jakub",4
"T La Vela, Giuseppe",4
"T Lee, Kuan-Yi",4
"T Maginley, Jody",4
"T Malla, Bastian",4
"T Marchetti, Federico",4
"T Martin, Toby",4
"T Merino, Alexander",4
"T Mikrut, Luka",4
"T Minakov, Mikhail",4
"T Miyoshi, Kenta",4
"T Mo, Ye Cong",4
"T Nedelchev, Nikolay",4
"T Nefve, Axel",4
"T Netuschil, Marvin",4
"T Novikov, Egor",4
"T Paty, Daniel",4
"T Pavlekovich Smith, Thomas",4
"T Pecci, Alessandro",4
"T Petrovic, Andreja",4
"T Phillips, Rowland",4
"T Reboul, Fabien",4
"T Recek, Dominik",4
"T Reyes-Varela, Miguel Angel",4
"T Rojas, Olivier",4
"T Salvestre, Damien",4
"T Seggerman, Ryan",4
"T Shumeiko, Pavel",4
"T Sperle, John",4
"T Storrie, Ryan James",4
"T Sun, Qian",4
"T Takada, Mao",4
"T Talic, Zaharije-Zak",4
"T Terziev, Simeon",4
"T Turriziani Alvarez, Alejandro",4
"T Vasa, Iiro",4
"T Vasilenko, Alexander",4
"T Vasquez Gehrke, Alessio",4
"T Velcz, Zsombor",4
"T Vernier, Michel",4
"T Wang, Tak Khunn",4
"T Woldeab, Siem",4
"Versier, Vivien",4
"Zakaryia, Faris",4
"Andrejic, Marko",5
"Cook, Ethan",5
"Del Pino, Mateo",5
"Denisov, Ivan",5
"Fayziev, Sanjar",5
"Hadigian, Eric",5
"Jachuck, Ronan",5
"Koenig, Luc",5
"Loutit, Jack",5
"Matuszewski, Piotr",5
"Osorio, Juan Sebastian",5
"Sabanov, Matej",5
"Saraiva Dos Santos, Paulo Andre",5
"Schachter, Noah",5
"Shanmugam, Abhinav Sanjeev",5
"Story, James",5
"T Agwi, Michael",5
"T Alvarez, Luis Carlos",5
"T Baris, Ozan",5
"T Baron, Jonathan",5
"T Barreiros Reyes, Mateo",5
"T Bertuccioli, Federico",5
"T Boros, Attila",5
"T Bramajo, Santiago",5
"T Cornea, Victor Vlad",5
"T De Lima, Matheus Amorim",5
"T Dembek, Michal",5
"T Dima, Dragos",5
"T Elia, Alon",5
"T Frantzen, Constantin",5
"T Garcia, Miguel",5
"T Geschwind, Francisco Tomas",5
"T Gregg, Perry",5
"T Hamou, Maxime",5
"T Hoogmartens, Alexander",5
"T Hornitschek, Nico",5
"T Ilkel, Berk",5
"T Kim, Geun Jun",5
"T Lane, Lewie",5
"T Lapalu, Valentin",5
"T Leong, Mitsuki Wei Kang",5
"T Lock, Courtney John",5
"T Lorusso, Lorenzo",5
"T Marinescu, Mihai Razvan",5
"T Nakashima, Bryce",5
"T Nedic, Andrej",5
"T Nicod, Jakub",5
"T Noskin, Egor",5
"T Okamura, Issei",5
"T Orlikowski, Aleksander",5
"T Ozolins, Karlis",5
"T Pietri, Benjamin",5
"T Planelles Ripoll, Gerard",5
"T Ramirez, Cesar",5
"T Sebesta, Jan",5
"T Shyovitz, Eyal",5
"T Sigouin, Benjamin",5
"T Spec, Matic",5
"T Stuurman, Roland",5
"T Tang, Sheng",5
