Name,Rating
Yume Kakeru Kougen: Kiyosato no Chichi Paul Rusch,6.04
Yuuki Yuuna wa Yuusha de Aru Churutto!,6.04
Zou no Senaka: Tabidatsu Hi,6.04
Anime Tenchou,6.05
Aquarian Age: Sign for Evolution,6.05
Ars no Kyojuu,6.05
Berserk Recap,6.05
Bikkuriman,6.05
Bouken Shounen Shadar,6.05
Choboraunyopomi Gekijou Dai San Maku Ai Mai Mii: Surgical Friends,6.05
Dragon Age: Blood Mage no Seisen,6.05
Eiyuu Kyoushitsu,6.05
Fairy Tail: 100-nen Quest - Kanwa - Lucy's Diary,6.05
Fight League: Gear Gadget Generators,6.05
Fushigi na Koala Blinky,6.05
Great Mazinger tai Getter Robo,6.05
Grick no Bouken,6.05
Hello Kitty no Minna no Tanoshii Natsuyasumi,6.05
Hidari no O'Clock!!,6.05
Huan Jing Nuo De Lin,6.05
Ikebukuro PR Anime,6.05
Jinki:Extend,6.05
Kaiketsu Zorori: Mahoutsukai no Deshi/Dai Kaizoku no Takara Sagashi,6.05
Kosuke-sama Rikimaru-sama: Konpeitou no Ryuu,6.05
Kouchou-sensei to Kujira,6.05
Kouchuu Ouja Mushiking Super Battle Movie: Yami no Kaizou Kouchuu,6.05
Koutetsu Tenshi Kurumi Zero,6.05
Kyou Kara Maou! Recap,6.05
Licca-chan Fushigi na Fushigi na Yunia Monogatari,6.05
Luck & Logic,6.05
Mahoutsukai Chappy,6.05
Majokko Shimai no Yoyo to Nene Movie Extra: Hatsukoi - Mikako Komatsu,6.05
Masou Kishin Cybuster,6.05
Meitantei Conan: Necchuushou no Nazo wo Toke!,6.05
Miyako,6.05
Ndaho Kekkon Omedetou!!,6.05
Nine 2: Koibito Sengen,6.05
Oh! Super Milk-chan,6.05
Oni,6.05
Otogi Manga Calendar,6.05
Personal Computer Travel Tanteidan,6.05
RG Veda,6.05
Rhythmens,6.05
Saga-ken wo Meguru Animation,6.05
Shinshaku Sengoku Eiyuu Densetsu: Sanada Juu Yuushi The Animation,6.05
Shita-kiri Suzume,6.05
Shounen Hollywood: Holly Stage for 49,6.05
Sore Ike! Anpanman: Happy no Daibouken,6.05
Sore Ike! Anpanman: Soratobu Ehon to Glass no Kutsu,6.05
Soreyuke! Uchuu Senkan Yamamoto Youko,6.05
Souten no Ken: Regenesis 2nd Season,6.05
Sugar Bunnies Fleur,6.05
The iDOLM@STER Cinderella Girls: 5th Live Tour Serendipity Parade!!! Manner Movie,6.05
Tokimeki Memorial: Forever With You,6.05
Urban Square: Kohaku no Tsuigeki,6.05
Wan Yu Zhi Wang,6.05
What's Michael? (TV),6.05
Youma,6.05
Yume Juuya,6.05
Yumemiru Topo Gigio,6.05
Zenryoku Usagi,6.05
Zombie-ga Doeeo Beorin Naui Ttal,6.05
Aharen-san wa Hakarenai Mini,6.06
Animal 1,6.06
Arifureta Shokugyou de Sekai Saikyou Picture Drama,6.06
Attack No.1: Namida no Kaiten Receive,6.06
Attack No.1: Namida no Sekai Senshuken,6.06
Bai Gui Youeryuan 2nd Season,6.06
Balala Xiao Mo Xian Zhi: Feiyue Cai Ling Bao,6.06
Captain Movie,6.06
Celia-sensei no Wakuwaku Magical Kyoushitsu,6.06
DRAMAtical Murder: Data_xx_Transitory,6.06
Doraemon Eigo Kyoushitsu,6.06
Elsword: Ain-ui Gieog Animation,6.06
Fate/Zero Cafe,6.06
Fei Ren Zai: Shenxian Ye Ai Chi,6.06
"Genesis Climber Mospeada: Love, Live, Alive",6.06
Good Morning Call,6.06
Hataraku Maou-sama!! Recap,6.06
Heybot!,6.06
Himitsu no Akko-chan (Movie),6.06
Hipira-kun,6.06
Houma Hunter Lime,6.06
Inga Nikki,6.06
Ippatsu Kanta-kun,6.06
Kirara,6.06
Lao Fu Zi Shui Hu Chuan,6.06
Lime-iro Senkitan: Nankoku Yume Roman,6.06
M3: Sono Kuroki Hagane Recap,6.06
Mahou no Star Magical Emi: Semishigure,6.06
Manga Aesop Monogatari (TV),6.06
Oniichan no Koto nanka Zenzen Suki ja Nai n da kara ne!!,6.06
Osomatsu-san: Haru no Zenkoku Dai Senbatsu Jouei-sai - Sentou Quiz 2,6.06
Perman (1983) Specials,6.06
Precure kara Minna e no Ouen Movie,6.06
Queen's Blade: Rebellion Specials,6.06
Ring ni Kakero 1 Pilot,6.06
Saru Getchu: On Air,6.06
Shi Wan Ge Leng Xiaohua 2nd Season,6.06
Shinobi no Ittoki,6.06
Sore Ike! Anpanman: Kaiketsu Naganegiman to Yakisobapanman,6.06
Sougen no Ko Tenguri,6.06
Stitch!: Zutto Saikou no Tomodachi,6.06
Teki wa Kaizoku: Neko-tachi no Kyouen,6.06
Tetsuwan Atom: Atom Tanjou no Himitsu,6.06
Time Bokan Oudou Fukko,6.06
Toshiwasure Guda Guda Order 2016,6.06
Tsugu Tsugumomo Mini Anime,6.06
Tsuujou Kougeki ga Zentai Kougeki de Ni-kai Kougeki no Okaasan wa Suki desu ka? Namiuchigiwa no Okaasan wa Suki desu ka?,6.06
Ultra Nyan: Hoshizora kara Maiorita Fushigi Neko,6.06
Xia Lan,6.06
Xiang Qi Wang,6.06
Yume Oukoku to Nemureru 100-nin no Oujisama: Short Stories,6.06
Yumeria,6.06
Zero Tester,6.06
Agigongryong Doolie,6.07
Bem,6.07
Biohazard 4: Incubate,6.07
"Boku, Otaryman.",6.07
"Bye Bye, Earth",6.07
"Chiisana Obake: Acchi, Kocchi, Socchi",6.07
Chouriki Robo Galatt,6.07
Cutie Honey F Movie,6.07
Cyborg 009: The Cyborg Soldier - Yomi no Gunzou,6.07
DD Hokuto no Ken,6.07
Final Fantasy,6.07
Gegege no Kitarou: Youkai Tokkyuu! Maboroshi no Kisha,6.07
Guilty Gear X,6.07
Haguregumo,6.07
Hakujaden,6.07
Kageyama Tamio no Double Fantasy,6.07
Kaitou Tenshi Twin Angel: Kyunkyun☆Tokimeki Paradise!!,6.07
